login,username,password,type
TestcoTeacher1,TestcoTeacher1,testcoteacher1,teacher
TestcoSupervisor1,TestcoSupervisor1,testcosupervisor1,supervisor
testcoauto_student100_testcoparent1,testcoauto_student100,testcoauto_student100,student
testcoauto_student102_testcoparent1,testcoauto_student102,testcoauto_student102,student
testcoauto_student103_testcoparent1,testcoauto_student103,testcoauto_student103,student
testcoauto_student104_testcoparent1,testcoauto_student104,testcoauto_student104,student
testcoauto_student105_testcoparent1,testcoauto_student105,testcoauto_student105,student
testcoauto_student106_testcoparent1,testcoauto_student106,testcoauto_student106,student
testcoauto_student115_testcoparent1,testcoauto_student115,testcoauto_student115,student
testcoauto_student116_testcoparent1,testcoauto_student116,testcoauto_student116,student
testcoauto_student117_testcoparent1,testcoauto_student117,testcoauto_student117,student
testcoauto_student118_testcoparent1,testcoauto_student118,testcoauto_student118,student
testcoauto_student120_testcoparent1,testcoauto_student120,testcoauto_student120,student
testcoauto_student119_testcoparent1,testcoauto_student119,testcoauto_student119,student
testcoauto_student121_testcoparent1,testcoauto_student121,testcoauto_student121,student
testcoauto_student101_testcoparent1,testcoauto_student101,testcoauto_student101,student
